iter	RMSE
301	0.4384019275
302	0.4383007003
303	0.438199142
304	0.4380320289
305	0.4378892518
306	0.4378342827
307	0.437760494
308	0.4376844162
309	0.437603721
310	0.4375354179
311	0.4374469103
312	0.4373414522
313	0.4372456765
314	0.437169155
315	0.4370501535
316	0.4369495599
317	0.4368800407
318	0.4368171287
319	0.4366960016
320	0.4366312639
321	0.4365615473
322	0.4364560253
323	0.4363815187
324	0.4363168363
325	0.4361866987
326	0.4361059747
327	0.4360290098
328	0.4355685884
329	0.4354938626
330	0.4354096694
331	0.4353213802
332	0.4352471626
333	0.4351835442
334	0.4351189307
335	0.435013344
336	0.4349131078
337	0.434819766
338	0.434719999
339	0.4346539722
340	0.4345803771
341	0.4344948598
342	0.4344217101
343	0.4342703499
344	0.4342052124
345	0.4341144416
346	0.4339794745
347	0.4339138935
348	0.4338450567
349	0.433735851
350	0.433651474
351	0.4335785295
352	0.4334910942
353	0.4334396554
354	0.4333643658
355	0.4333142232
356	0.4332595469
357	0.4331782919
358	0.4330886897
359	0.4330352445
360	0.4329660435
361	0.4328863245
362	0.432808168
363	0.4327283156
364	0.4326423396
365	0.4325697616
366	0.4324893022
367	0.4324133563
368	0.43236081
369	0.4322532316
370	0.4320986027
371	0.4320180188
372	0.4318812608
373	0.4318202853
374	0.4317115255
375	0.4316617767
376	0.4315848421
377	0.4315184058
378	0.4314297907
379	0.431339469
380	0.4312106397
381	0.4310999241
382	0.4310313361
383	0.4309722357
384	0.4308516534
385	0.4307859331
386	0.4307063481
387	0.4306255575
388	0.4305110892
389	0.4304759755
390	0.4303382607
391	0.4302830621
392	0.4302341557
393	0.4301879985
394	0.4301499324
395	0.430077156
396	0.4299816885
397	0.4299075985
398	0.4298636925
399	0.4297937929
400	0.4297464611
401	0.4296505919
402	0.4295686005
403	0.4294958001
404	0.429447637
405	0.4293652044
406	0.4293196512
407	0.4292477416
408	0.4292070664
409	0.4291479831
410	0.4291118848
411	0.4290499254
412	0.4289751027
413	0.4289081213
414	0.4288067826
415	0.4287564129
416	0.4286987146
417	0.4286575078
418	0.4285777706
419	0.4285291432
420	0.428471665
421	0.4284114363
422	0.4283305799
423	0.4282621295
424	0.4282299318
425	0.4281693633
426	0.4279133019
427	0.4278387738
428	0.4277943796
429	0.4277439363
430	0.4277042977
431	0.4276458902
432	0.4275930766
433	0.4275443724
434	0.4274882688
435	0.4274561697
436	0.4273944513
437	0.427333272
438	0.4272711154
439	0.4272209912
440	0.4271538453
441	0.4270712833
442	0.4269700019
443	0.4269052525
444	0.4268224389
445	0.4267435916
446	0.4266850785
447	0.4266444435
448	0.4266088438
449	0.4265642815
450	0.4264958284
451	0.4264235729
452	0.4263624408
453	0.4263082036
454	0.4262123764
455	0.4261757127
456	0.4260855571
457	0.4260480777
458	0.4260118736
459	0.4259776932
460	0.4259283827
461	0.4258857889
462	0.4258472971
463	0.4257843633
464	0.4257262693
465	0.4256545728
466	0.4256134298
467	0.4255688668
468	0.4255273376
